query,response
"Пожалуйста, придумай короткое стихотворение о том, как ребенок завел домашнего питомца, но потом захотел от него избавиться, потому что ухаживать за ним оказалось трудно, но в итоге сохранил ему жизнь и отпустил на волю.","Хотел иметь я птичку,
И денег накопил,
И вот на Птичьем рынке
Я Зяблика купил.

Сидел мой Зяблик в клетке
И зёрнышки клевал,
И, как в лесу на ветке,
Всё пел и распевал.

Ребята заходили
На Зяблика смотреть,
И каждому хотелось
Такого же иметь.

Я с Зябликом возился,
Хоть было много дел,
А через две недели
Певец мне надоел.

Однажды я за город
Уехал на три дня,
И он на это время
Остался без меня.

Когда же из деревни
Вернулся я домой,
Лежал в пустой кормушке
Голодный Зяблик мой.

Я спас его от смерти -
Я выходил его
И выпустил на волю
Живое существо.

Хотят ко дню рожденья
Мне подарить щенка,
Но я сказал: ""Не надо!
Я не готов пока!"""
"Пожалуйста, сочини небольшое весёлое стихотворение о том, что значит быть первоклассным и как важно стремиться к совершенству в любом деле, будь то учёба, работа или путешествие.","Всё хорошее у нас
Называют – первый класс.
Пассажиры без опаски
Отправляются в полёт,
Если лётчик первоклассный,
Первоклассный самолёт.
Вот строитель – первый класс!
Он построил первый класс!
В первоклассные дома
Не поселится зима.
Первоклассный педагог
С первоклассниками строг:
«Отложите-ка игрушки,
Начинается урок!»
От Камчатки до Арбата
В этот день в стране у нас
Первоклассные ребята
Поступают в первый класс!"
"Придумайте короткое четверостишие о кукушке, которая прилетела весной и радует нас своим пением.","Вот ещё одна подружка,
А зовут её - кукушка.
Сядет скромно на суку
И кричит: - Ку-ку, ку-ку!"
"Пожалуйста, придумайте небольшое стихотворение о том, как маленький ребёнок помогает родителям убирать двор от мусора и листьев, используя метлу.","Метлу взяла
И двор подмела.
Всюду нос метла совала,
Но и я не отставала -
От сарая до крыльца
Подметала без конца.
Приходите, поглядите,
Хоть сориночку найдите."
"Пожалуйста, придумай веселое новогоднее стихотворение о том, как девочка едет на санях через заснеженный лес и сказочный зимний пейзаж к нам на праздничную елку.","Вся в снежинках, лед искрится
На ее ресницах,
На санях по снегу мчится,
Кони — словно птицы!
В гости к нам она летит,
Эй, не стойте на пути!
В белой шубке, как принцесса,
В теплых рукавицах,
Мимо сказочного леса
К нам на елку мчится!
И красива, и стройна,
Так скажите — кто она?"
"Придумайте короткое стихотворение про грибницу, которая встретила в лесу поганку?","На полянке спозаранку
Повстречала я поганку -
Почему ты бледная?
Потому что вредная!"
"Пожалуйста, придумай небольшое стихотворение о первокласснице, которая идет в школу в первый раз - с описанием ее радостных чувств и переживаний в этот важный день.","В руках портфель, цветы; и бантики в косичках…
Я не иду – парю! Моя душа – синичка.
Восторг живёт в глазах, и вся я – нараспашку,
Все смотрят на меня, ведь я же – первоклашка!

Мне солнце шлёт привет! И я сияю тоже,
И светятся глаза у мамы и прохожих.
И песню для меня поют друзья про школу,
И первый для меня звенит звонок весёлый.

За партой в первый раз... и стало вдруг тревожно,
Но здесь семья – мой класс, и здесь без мамы можно.
Учительница здесь – вторая наша мама:
– В мир знаний – в добрый час! – с улыбкой нам сказала..."
"Пожалуйста, сочини короткое забавное стихотворение о том, как дети в начале осени идут в школу с букетами цветов.","Идет по дороге
Огромный букет.
В туфельках – ноги,
Сверху – берет.
В школу шагают
Букеты цветов -
Каждый
К учебному году
Готов."
"Попросите меня сочинить короткое детское стихотворение о том, как девочка собирала малину в лесу.","Я надела поясок,
Подвязала туесок,
Побежала по малину
Через луг, через лесок.
Я раздвинула кусты -
Ну тенисты, ну густы!
А малина-то, малина -
Самой крупной крупноты,
Самой крупной крупноты,
Самой красной красноты!
Побродила я часок,
Вижу - полон туесок.
Побежала я обратно
Через луг, через лесок.
Солнце бродит в вышине,
Хорошо ему и мне!"
"Придумайте небольшое стихотворение о первой снежинке, упавшей на руку ребёнка, которая хочет вернуться на небо.","Плавно снежинка спустилась в ладонь,
Шепчет тихонько: ""Меня ты не тронь.
Дунь осторожно, и я улечу -
К синему небу подняться хочу.""
Первый пушистый и белый снежок -
Светлое зимнее чудо, дружок."
"Придумайте, пожалуйста, короткое забавное стихотворение о насекомых-матросах, которые хотят сменить обувь.","Мы - маленькие осы.
В тельняшках, как матросы,
Летаем над цветами -
Вы все знакомы с нами.
Всегда на наших ножках
Пушистые сапожки.
Нам жарко в них немножко.
Пришлите босоножки!"
"Пожалуйста, придумайте веселое детское стихотворение о том, как ребенок вместе с родителями лепил во дворе снежную бабу и украшал ее разными предметами, находя им забавное применение.","Мы снежную бабу слепили на славу.
На славу, на славу, себе на забаву.
На нас она черными смотрит глазами,
Как будто смеется двумя угольками.
Хотя и стоит наша баба с метлой,
Но пусть не покажется вам она злой.
Ведро вместо шляпы надели мы ей…
Со снежною бабой игра веселей."
"Ребёнок спрашивает: ""Папа/мама, расскажи стишок про зимние праздники и наряженную ёлку?""","Посмотри на календарь -
Приближается январь.
Это значит, Новый год
Собирается в поход.
Снег сверкает ярко-ярко,
Мне и весело, и жарко.
Это значит, что зимой -
Самый лучший праздник мой.
Мы сегодня так устали -
Дома ёлку наряжали.
Это значит, Новый год
Обязательно придёт!"
"Пожалуйста, придумайте небольшое стихотворение о приходе осени, подходящее для чтения ребёнку перед началом учебного года.","Листьям – Время опадать,
Птицам – Время улетать,
Грибникам – Блуждать в тумане,
Ветру – В трубах завывать.
Солнцу – стынуть,
Тучам – литься,
Нам с тобой –  
Идти учиться:
Буквы с цифрами писать,
По слогам букварь читать!"
"Придумайте, пожалуйста, короткое новогоднее стихотворение про елочку, которая зажигает огни и исполняет желания детей.","Засверкай огнями елка,
Нас на праздник позови!
Все желания исполни,
Все мечты осуществи!"
"Пожалуйста, сочините короткое стихотворение для ребенка, в котором веселый озорник мечтает превратиться в кузнечика и скакать по лугам в зеленом пиджаке, играя на зеленой скрипке.","Надеть бы Зеленый пиджак
И прыгнуть бы В небо - Вот так!
И скакать И плясать По лугам,
Удивляясь Проворным ногам.
Мне б зеленую Скрипку Достать,
Я сумел бы Кузнечиком Стать."
"Пожалуйста, придумай небольшое стихотворение про сапожника, который чинит детские сапожки, чтобы ребенок смог пойти в гости.","Мастер, мастер,
Помоги -
Прохудились
Сапоги.
Забивай покрепче
Гвозди -
Мы пойдем сегодня
В гости!
- Был сапожник? - Был!
- Шил сапожки? - Шил!
- Для кого сапожки? -
Для соседской кошки!"
"Пожалуйста, придумайте небольшое стихотворение для моего ребёнка, в котором будет описан осенний парк или сад, празднование его первого полугодика и милое поведение ребёнка во время этого праздника.","Дуб качает головою,
Сосны ветками шумят,
И осыпан мокрой хвоей
По утрам осенний сад.
Но сегодня в честь Андрея
Стало солнышко добрее:
Нынче мальчику полгода —
Вот и ясная погода!
В честь Андрюши будут пляски,
Ребятишек полон двор.
Мальчик смотрит из коляски
На танцующих сестер.
Он сидит, как зритель в ложе,
У него в руках букет.
Он и сам сплясал бы тоже,
Да устойчивости нет!"
"Не могли бы вы придумать короткое стихотворение о том, как ребёнок делится с другом любимой игрушкой, хотя это и непросто?","Пришла ко мне подружка,
И мы играли с ней.
И вот одна игрушка
Вдруг приглянулась ей:
Лягушка заводная,
Весёлая, смешная.
Мне скучно без игрушки -
Любимая была, -
А всё-таки подружке
Лягушку отдала."
"Можете придумать небольшое стихотворение о светлом празднике Рождества Христова, о Вифлеемской звезде, о вере и надежде, которые несет этот праздник?","Светлый праздник Рождества!
Нет счастливей торжества!
В ночь рождения Христова
Над землёй зажглась Звезда.
С той поры через столетья
Нам она, как солнце светит.
Согревает верой души,
Чтобы мир стал краше, лучше.
Дарит искры волшебства
Светлый праздник Рождества!
Мир приходит в каждый дом...
Поздравляем с Рождеством!"
"Придумайте короткое четверостишие о том, как две гусеницы превратились в прекрасных бабочек.","Вот две бабочки летят.
Рассказать тебе хотят,
Что вчера ещё в траве
Были гусеницы две.
Но из гусениц ленивых
Превратились вдруг в красивых
Пёстрых маленьких принцесс.
На лугу полно чудес!"
"Придумай короткое стихотворение о том, как младшие сёстры успокаивают и охраняют младшего брата во время грозы, пока мамы нет дома.","Начинается гроза,
Потемнело в полдень,
Полетел песок в глаза,
В небе - вспышки молний.
Ветер треплет цветники
На зелёном сквере,
В дом ворвались сквозняки,
Распахнули двери.
Сёстры в комнату скорей -
Мамы нету дома.
Может маленький Андрей
Испугаться грома!
Вспыхнул на небе пожар,
Сосны зашумели;
Сёстры, словно сторожа,
Встали у постели.
Но вполне спокоен брат -
Не заметил молний,
Ручки вытащил и рад
И лежит, довольный."
"Можешь пожалуйста сочинить небольшое весёлое стихотворение про школьников, которые радуются отмене урока из-за болезни учительницы, но в конце концов осознают свою неправоту и желают ей скорейшего выздоровления?","Прыг-скок! Прыг-скок! 
Отменяется урок.
Пляшут, как на празднике,
Юные проказники
И кричат:— Удачный день:
У ботаники мигрень!
Крик такой! Восторг такой!
Все как именинники.
— Пусть пропишет ей покой
Доктор в поликлинике,
Пусть она идет лечиться,
Мы согласны не учиться!
А дежурный говорит:
— У меня был дифтерит,
И пришлось на шесть недель
Уложить меня в постель.
Возмутилась звеньевая,
Пионеров слушая.
Говорит:— Мы проявляем
К людям равнодушие!
Звали милой, 
Звали славной,
Нашей Ольгой Николавной,
А теперь желаем зла:
Чтоб ботаника слегла!
Тут опомнился отряд,
Все дежурного корят.
А дежурный говорит:
— Пожалуйста, без паники!
У меня был дифтерит,
А не у ботаники!
Разговор пошел иной,
Все сочувствуют больной:
— Поправляться вам пора,
Ольга Николаевна!
Зря кричали мы «ура»,—
Это мы нечаянно."
"Пожалуйста, придумай небольшое забавное стихотворение про маленького мальчика, который учится выговаривать букву ""р"", но пока у него это плохо получается, из-за чего возникают разные смешные ситуации.","Пять лет Сереже в январе,
Пока — четыре, пятый,
Но с ним играют во дворе
И взрослые ребята.
А как на санках, например,
Он с гор летает смело!
Сереже только буква «р»
Немного портит дело.

На брата сердится сестра,
Ее зовут Марина.
А он стоит среди двора,
Кричит:— Ты где, Малина?
Она твердит:— Прижми язык,
Прижми покрепче к нёбу!—
Он, как прилежный ученик,
Берется за учебу.

Твердит Марина:— «Рак», «ручей».
Марина учит брата.
Он повторяет:— «Лак», «лучей»,—
Вздыхая виновато.
Она твердит:— Скажи «метро»,
В метро поедем к дяде.
— Нет,— отвечает он хитро,—
В автобус лучше сядем.

Не так легко сказать «ремень»,
«Мороз», «река», «простуда»!
Но как-то раз в январский день
С утра случилось чудо.
Чихнула старшая сестра,
Он крикнул:— Будь здоррррова!—
А ведь не мог еще вчера
Сказать он это слово.

Теперь он любит букву «р»,
Кричит, катаясь с горки:
— Урра! Я смелый пионеррр!
Я буду жить в СССР,
Учиться на пятерррки!"
"Пожалуйста, придумай небольшое весеннее стихотворение про пробуждение природы и зверей от зимней спячки.","Кап да кап, и не до сна,
Постучалась к нам весна.
Зазвенел ручей игриво.
Вышел ежик:"" Что за диво! 
Хватит звери нам скучать,
Уж весну пора встречать!"""
"Пожалуйста, придумайте небольшое стихотворение о том, как ветер зовёт маленькую снежинку в хоровод и танец.","Ветер песенку поет
На лесной опушке,
Танцевать меня зовет
В хоровод к подружкам.
Ветер, ветер, дуй сильней,
Чтоб плясалось веселей
Ледяной кружинке –
Маленькой снежинке."
"Родитель мог бы задать такой вопрос или просьбу: ""Пожалуйста, придумай короткое стихотворение о традициях украшения новогодней елки дома и подготовке к празднику"".","Новогоднюю ель осторожно несу
И с почтением с ней обращаюсь,
Когда в узкие двери лесную красу
Занести, не поранив, пытаюсь.
Мы готовим для елки красивый наряд
И подарки внизу для детишек.
Поступать так традиции наши велят,
Их найдут возле веток и шишек.
От вершины идут золотые шары.
Еще дождик навешивать буду.
Лучше нет суеты новогодней поры,
Где все люди готовятся к чуду."
"Пожалуйста, придумайте короткое стихотворение о сморчке, небольшом грибе, который из-за своей морщинистой шляпки похож на старичка.","Сморчок, сморчок,
От рожденья старичок.
Вырос на опушке.
Шапка на макушке.
Дунул ветер … и сморчок
Повалился на бочок,
Весь в морщинах –
Старичина!"
"Пожалуйста, придумай короткое стихотворение для моего ребёнка, в котором бы рассказывалось о приходе весны и о том, как тают сугробы.","К нам весна шагает
Быстрыми шагами,
И сугробы тают под её ногами.
Чёрные проталины
На полях видны.
Видно очень тёплые ноги у весны."
"Пожалуйста, сочини короткое весёлое стихотворение про первоклассницу, которая забавно шутит и все её одноклассники хохочут от её остроумия, но одна девочка завидует её успеху и не смеётся вместе со всеми.","Острит он неплохо,
Скажет словечко -
И слышится хохот.
Школа взрывается
Залпами смеха:
Клоун - первоклассница!
Ну и потеха!
Хохот девчонок
Особенно звонок!
Но не смеется
Одна из девчонок.
Что-то нахохлилась
Эта девица:
- Мне неохота
От смеха давиться!
Девочки шепчутся:
- Ей не до смеха,
Танька не терпит
Чужого успеха."
"Пожалуйста, придумай веселое новогоднее стихотворение для моего ребенка про то, как мы наряжали искусственную елку дома.","У нас на празднике была
Искусственная ёлка.
На ней сосульки из стекла
И бабочки из шёлка.
И дождь серебряный сухой
С мохнатых лап струился,
И снег из блёсток золотой
Под лампами искрился.
Сугроб под ёлочкой подрос
Из мишуры блестящей,
И только Дедушка Мороз
Был самый настоящий!"
"Пожалуйста, придумайте короткое стихотворение о ребёнке, который наблюдает за военным парадом по телевизору и мечтает в будущем принять в нём участие как солдат.","По телевизору парад!
Тарам-папам-папам!
Бойцы идут за рядом ряд,
Равняясь по рядам!
Когда-нибудь пройду и я,
Печатая шаги,
Пускай любуются друзья
И хмурятся враги!"
"Придумайте короткое стихотворение о ребёнке, который строит песочный замок, но при этом неизбежно пачкается, однако это безобидное занятие расценивается как полезное и поощряемое.","Пусть не сердятся родители,
Что измажутся Строители,
Потому что тот, кто строит,
Тот чего-нибудь да стоит!
И неважно, что пока
Этот домик из песка!"
"Придумайте, пожалуйста, небольшое смешное стихотворение о том, как заяц отказывается барабанить, пока ему не дадут морковку.","Несут к барабану.
Заяц ворчит: – Барабанить не стану!
Нет настроения,
Нет обстановки,
Нет подготовки,
Не вижу морковки!"
"Придумайте, пожалуйста, короткое детское стихотворение о необычном фрукте, непривычном для наших широт, который очень вкусный, но при этом слегка вяжущий на вкус.","Иностраночка ХУРМА
К нам на блюдце ляжет
До чего же хороша,
Но немножко вяжет."
"Придумай весёлое детское стихотворение о том, как кот скучает по весне и ждёт прихода тёплого времени года, грея батарею своим мягким пушистым телом.","Кот ходил, сидел, лежал,
Долго масленицу ждал. 
Песни пел, шипел, сопел:
«Не зима, а беспредел!»
Под окошком батарею
Он теплом кошачьим греет!
И надеется, что-Вот!
Побыстрей весна придёт!"
"Пожалуйста, придумай весёлое детское стихотворение про забавных животных, живущих друг над другом, и про то, как они мешают спать друг другу из-за шума, который издают.","Над нашей квартирой
Собака живёт.
Лает собака
И спать не даёт.
Спать не даёт
Нам.
А над собакою
Кошка живёт.
Мяукает кошка
И спать не даёт
Спать не даёт
Собаке.
Ну, а над кошкою
Мышка живёт.
Мышка вздыхает
И спать не даёт.
Спать не даёт
Кошке.
Ночью по крыше
Дождик стучит.
Вот потому-то
И мышка не спит,
Мышка не спит
Всю ночь.
В небе печальные
Тучи бегут.
Тучи рыдают,
И слёзы текут,
Слёзы текут
Дождём.
А тучи обидел
Маленький гром,
Который по тучам
Стучал кулаком,
Стучал кулаком -
Ба-бах!"
"Пожалуйста, придумайте небольшое стихотворение про маму, которая пришла домой с работы и готовит ужин для своего ребенка.",Мама при
"Придумай короткое стихотворение о том, как папа выбирает красивую елку для празднования Нового года или Рождества, и маму радует ее замечательный аромат.","Выбрал папа елочку
Самую пушистую.
Елочка так пахнет –
Мама сразу ахнет!"
"Помогите, пожалуйста, придумать короткое стихотворение про то, как зимой приходится закутывать нос от мороза, чтобы рассказать его моему ребенку.","Все злее, злее, злее
На улице мороз.
И каждый потеплее
Закутывает нос.
И людям, и машинам
Сейчас не до красы.
И люди, и машины
Закутали носы."
"Придумайте, пожалуйста, небольшое стихотворение о прелестях осени для маленьких детей, где бы говорилось о смене времен года, приходе холодов, но при этом ощущалась бы радость от начала учебного года и общения с друзьями.","Промчалось лето красное,
Весёлое и вольное.
Настало время классное,
Дворовое и школьное.
Немножечко дождливое,
Холодное и стужное,
Но всё-таки счастливое
И очень-очень дружное."
"Придумайте рождественское стихотворение о волшебстве и чудесах, которое передавало бы ожидание праздника в заснеженном городе.","Сегодня будет Рождество,
Весь город в ожиданьи тайны,
Он дремлет в инее хрустальном
И ждет: свершится волшебство.
Метели завладели им,
Похожие на сновиденье.
В соборах трепет свеч и пенье,
И ладана сребристый дым.
Встречаться будут чудеса,
Так запросто, в толпе прохожих,
И вдруг на музыку похожи
Людские станут голоса."
"Придумайте коротенькое стихотворение от лица сказочных персонажей, провожающих малыша в школу и желающих ему всяческих успехов в учёбе.","Первокласснику телеграмма,
Телеграмму читает мама:
- «Мы были вместе, а теперь
Ты в школу открываешь дверь.
Учись, взрослей, но помни нас.
Айболит и Карабас,
Робин Бобин Барабек
И еще сорок человек»."
"Пожалуйста, придумайте короткое стихотворение для ребенка про солнечное зимнее утро.","Солнце будто согревая
Светит радостно с утра.
В ясном небе проплывая
Не встречая облака.
Всё вокруг в лучистом свете,
Звонкий щебет тут и там.
Словно речь идёт о лете
Вопреки всем холодам.
Только пар при разговоре,
Да румянец на щеках
Холод утренний не скроют
В позолоченных лучах."
"Пожалуйста, придумайте короткое новогоднее стихотворение о том, как дети загадывают желания под нарядной ёлкой с сияющими игрушками, и эти желания сбываются.","На весёлых детских ёлках
Чудеса блестят в иголках.
Здесь, под ёлкой, в Новый год
Каждый что-нибудь найдёт.
Надо лишь заранее
Загадать желание!"
"Сочините небольшое стихотворение, описывающее радостные ожидания начала учебного года в школе и прощание с летними каникулами.","Каждый год звонок веселый
Собирает вместе нас.
Здравствуй, осень! Здравствуй, школа!
Здравствуй, наш любимый класс.
Пусть нам лета жаль немного -
Мы грустить не будем зря.
Здравствуй, к знаниям дорога!
Здравствуй, праздник сентября!"
"Пожалуйста, придумай весёлое детское стихотворение о том, кому можно, а кому нельзя топтать газоны в парке.","Топать прямо по газонам.
Запрещается коровам,
И быкам, и львам суровым.
Всем бесхвостым и хвостатым, 
Всем безусым и усатым,
Всем зубастым, 
Всем клыкастым,
Всем пушистым, 
Всем ушастым -
В общем, 
Всем, 
Всем, Всем, Всем, ВСЕМ
Запрещается совсем!
Только дождик, 
Только дождик
По газонам прямиком
Может прыгать, 
Может бегать,
Может шлёпать босиком!"
Можно ли мне сочинить прекрасное стихотворение о весеннем пробуждении природы и радости новой жизни для рассказа вашему ребенку?,"Над землею воздух дышит
День от дня теплее;
Стали утром зорьки ярче,
На небе светлее.

Всходит солнце над землею
С каждым днем все выше.
И весь день, кружась, воркуют
Голуби на крыше.

Вот и верба нарядилась
В белые сережки,
И у хат играют дети, -
Веселятся, крошки!

Рады солнечному свету,
Рады дети воле,
И теперь их в душной хате
Не удержишь боле.

Вот и лед на речке треснул,
Речка зашумела
И с себя зимы оковы
Сбрасывает смело;

Берега крутые роет,
Разлилась широко...
Плеск и шум воды бурливой
Слышен издалека.

В небе тучка набежала,
Мелкий дождик сеет...
В поле травка показалась,
Поле зеленеет.

На брединнике, на ивах
Развернулись почки,
И глядят, как золотые,
Светлые листочки.

Вот и лес оделся, песни
Птичек зазвенели,
Над травой цветов головки
Ярко запестрели.

Хороша весна-царица,
В плащ цветной одета!
Много в воздухе разлито
И тепла, и света..."
"Пожалуйста, придумай короткое четверостишие о том, какая птица повторяет слова за людьми и почему она это делает.","Повторять всегда готова
Эта птица слово в слово.
Птицу в том не упрекай,
Разговорчив попугай."
"Пожалуйста, придумайте весёлое новогоднее стихотворение для моего ребёнка о забавных игрушках на ёлке и праздничном веселье.","На ёлочке нашей смешные игрушки:
Смешные ежи и смешные лягушки,
Смешные медведи, смешные олени,
Смешные моржи и смешные тюлени.
Мы тоже немножко в масках смешны,
Смешными мы Деду Морозу нужны,
Чтоб радостно было, чтоб слышался смех,
Ведь праздник сегодня веселый у всех!"
"""Придумай короткое четверостишие-описание осенней непогоды из жизни ребенка"".","Лето, раздарив тепло,
Заскучало и прошло.
Ветер листья посрывал
И под ноги разбросал.
Солнце спряталось за тучи,
Серый день дождём наскучил.
И зачем-то плачет, плачет –
Вот какая незадача.
У него давайте спросим.
Дождь ответит: – Просто осень..."
"Придумайте небольшое стихотворение о праздновании Пасхи для моего маленького ребенка, где бы описывались праздничные атрибуты (верба, крашеные яйца, куличи), торжественная обстановка в доме и семейное угощение.","Пасха. Празднично кругом.
Чистотой сверкает дом.
Вербы на столе и пасха...
Так светло и так прекрасно!
Яйца крашеные всюду,
И кулич стоит на блюде...
Мама в фартуке из ситца
Приглашает всех садиться
И отведать угощение
В честь Христова воскресения."
"Можешь придумать небольшое стихотворение о том, как дети с удовольствием возвращаются в школу после летних каникул, полные энергии и желания учиться?","Завтра утром, словно птичьи трели,
Прозвенят звонки по всей стране.
Отдохнули мы и загорели,
К школе подготовились вполне.
Словно космонавты перед стартом
Мы чуть-чуть волнуемся сейчас.
Мы уже соскучились по партам,
Да и им невесело без нас...
У ребят восторженные лица,
Все вокруг кричат наперебой.
Время впечатленьями делиться
Мне с тобою и тебе со мной.
Кто расскажет о морских приливах,
Кто припомнит горный перевал.
Сколько нас, веселых и счастливых!
Каждый где-нибудь да побывал.
На ветру трепещет наше знамя,
На него равняемся в строю.
Мы вперед идем дорогой знаний,
Крепко любим Родину свою."
"Придумай короткое весёлое стихотворение про лето и деревенских животных, которые так забавно удивили девочку Маринку.","Лето, лето к нам пришло,
Стало сухо и тепло,
По дорожке прямиком
Ходят ножки босиком.

Кружат пчелы, 
Вьются птицы,
А Маринка 
Веселится.
Увидала петуха:
– Вот так чудо! Ха-ха-ха!

Удивительный петух:
Сверху – перья, снизу – пух!
Увидала поросёнка,
Улыбается девчонка:
– Кто от курицы бежит,
На всю улицу визжит?

Вместо хвостика крючок,
Вместо носа пятачок!
Пятачок дырявый,
А крючок вертлявый?

А Барбос, рыжий пёс,
Рассмешил её до слез.
Он бежит не за котом,
А за собственным хвостом.

Хитрый хвостик вьётся,
В зубы не даётся.
Пёс уныло ковыляет,
Потому что он устал.
Хвостик весело виляет:
«Не достал! Не достал!»

Ходят ножки босиком
По дорожке прямиком.
Стало сухо и тепло.
Лето, лето к нам пришло!"
"Придумайте короткое стихотворение о божьей коровке, ее ярких крыльях и цветовых узорах на спинке.","А у божьей, у Коровки
Крылья - пёстрые обновки.
На спине у модных крошек
Видим чёрные горошки."
"Придумай короткое стихотворение о двух спорящих баранах, которые встретились на узком мостике и не могли разойтись.","По крутой тропинке горной
Шёл домой барашек чёрный
И на мостике горбатом
Повстречался с белым братом.

И сказал барашек белый:
""Братец, вот какое дело:
Здесь вдвоём нельзя пройти -
Ты стоишь мне на пути"".

Чёрный брат ответил: ""Ме-е,
Ты в своём, баран, уме-е?
Пусть мои отсохнут ноги,
Не сойду с твоей дороги!""

Помотал один рогами,
Уперся другой ногами...
Как рогами ни крути,
А вдвоём нельзя пройти.

Сверху солнышко печёт,
А внизу река течёт.
В этой речке утром рано
Утонули два барана."
"Придумай небольшое стихотворение о пользе чтения книг для ребенка, где книги сравниваются с друзьями, открывающими новые горизонты знаний и умений.","О сколько в этом доме книг!
Внимательно всмотрись –
Здесь тысячи друзей твоих
На полках улеглись.
Они поговорят с тобой
И ты, мой юный друг,
Весь путь истории земной
Как бы увидишь вдруг..."
"Пожалуйста, придумайте короткое четверостишие о том, как ребёнок крепко держит маму за руку во время прогулки по городу, чтобы она не потерялась.","Когда я по городу с мамой хожу,
За руку маму я крепко держу:
Зачем ей идти и бояться,
Что может она потеряться?"
"Придумайте, пожалуйста, короткое стихотворение про сладкий сон медведя в берлоге зимой, когда ему снятся сладкие сны о меде.","Медвежьего следа зимой не сыскать,
Отправила Зимушка Мишеньку спать.
В берлоге он сладкую лапу сосет,
А снится ему, что он кушает мед.
От радости Мишка довольно урчит.
Эй, звери, потише… Пусть Миша поспит."
Придумай доброе и лиричное стихотворение о русской зиме для моего ребёнка.,"Она в сапожках белых
И в шубке голубой
Букет снежинок спелых
Приносит нам с тобой.
Белым-бела до пояса
Роскошная коса
И теплые-претеплые
Лучистые глаза.
В прозрачных льдинках варежки
И шапочка на ней.
Нам свет и радость даришь ты,
Любимица детей."
